*
* Visual Studio Code Server
*
* By using the software, you agree to
* the Visual Studio Code Server License Terms (https://aka.ms/vscode-server-license) and
* the Microsoft Privacy Statement (https://privacy.microsoft.com/en-US/privacystatement).
*
Server bound to 127.0.0.1:39701 (IPv4)
Extension host agent listening on 39701

[17:05:36] 




[17:05:36] Extension host agent started.
[17:05:36] [127.0.0.1][ca8b8fac][ManagementConnection] New connection established.
[17:05:36] [127.0.0.1][8eea9aa2][ExtensionHostConnection] New connection established.
[17:05:39] [127.0.0.1][8eea9aa2][ExtensionHostConnection] <883728> Launched Extension Host Process.
New EH opened, aborting shutdown
[17:10:36] New EH opened, aborting shutdown
[17:12:11] No ptyHost heartbeat after 6 seconds
[17:13:19] No ptyHost heartbeat after 6 seconds
[18:04:13] No ptyHost heartbeat after 6 seconds
[19:00:30] No ptyHost heartbeat after 6 seconds
[19:18:02] No ptyHost heartbeat after 6 seconds
[19:20:02] No ptyHost heartbeat after 6 seconds
[19:22:56] No ptyHost heartbeat after 6 seconds
[19:24:31] No ptyHost heartbeat after 6 seconds
[19:25:44] No ptyHost heartbeat after 6 seconds
[19:28:41] No ptyHost heartbeat after 6 seconds
[19:36:41] No ptyHost heartbeat after 6 seconds
[19:40:45] No ptyHost heartbeat after 6 seconds
[19:45:25] No ptyHost heartbeat after 6 seconds
[19:47:27] No ptyHost heartbeat after 6 seconds
[19:48:30] No ptyHost heartbeat after 6 seconds
[19:55:55] No ptyHost heartbeat after 6 seconds
[19:56:07] No ptyHost heartbeat after 6 seconds
[20:14:37] No ptyHost heartbeat after 6 seconds
[20:16:42] No ptyHost heartbeat after 6 seconds
[20:18:34] No ptyHost heartbeat after 6 seconds
[20:24:14] No ptyHost heartbeat after 6 seconds
[20:29:15] No ptyHost heartbeat after 6 seconds
[20:36:24] No ptyHost heartbeat after 6 seconds
[20:36:30] No ptyHost heartbeat after 6 seconds
[20:37:50] No ptyHost heartbeat after 6 seconds
[20:41:09] No ptyHost heartbeat after 6 seconds
[20:50:34] No ptyHost heartbeat after 6 seconds
[21:29:36] No ptyHost heartbeat after 6 seconds
[21:36:04] No ptyHost heartbeat after 6 seconds
[21:36:51] No ptyHost heartbeat after 6 seconds
[21:50:22] No ptyHost heartbeat after 6 seconds
[21:51:38] No ptyHost heartbeat after 6 seconds
[22:03:16] No ptyHost heartbeat after 6 seconds
[22:16:31] No ptyHost heartbeat after 6 seconds
[22:23:24] No ptyHost heartbeat after 6 seconds
[22:29:29] No ptyHost heartbeat after 6 seconds
[22:29:52] No ptyHost heartbeat after 6 seconds
[22:36:18] No ptyHost heartbeat after 6 seconds
[22:38:01] No ptyHost heartbeat after 6 seconds
[22:42:56] No ptyHost heartbeat after 6 seconds
[22:43:39] No ptyHost heartbeat after 6 seconds
[22:44:43] No ptyHost heartbeat after 6 seconds
[22:47:24] No ptyHost heartbeat after 6 seconds
[22:48:18] No ptyHost heartbeat after 6 seconds
[22:51:00] No ptyHost heartbeat after 6 seconds
[23:02:58] No ptyHost heartbeat after 6 seconds
[23:16:16] No ptyHost heartbeat after 6 seconds
[23:22:43] No ptyHost heartbeat after 6 seconds
[23:23:36] No ptyHost heartbeat after 6 seconds
[23:25:20] No ptyHost heartbeat after 6 seconds
[23:26:37] No ptyHost heartbeat after 6 seconds
[23:30:18] [127.0.0.1][8eea9aa2][ExtensionHostConnection] <883728> Extension Host Process exited with code: 0, signal: null.
Last EH closed, waiting before shutting down
[23:30:18] Last EH closed, waiting before shutting down
[23:33:59] No ptyHost heartbeat after 6 seconds
[23:34:58] No ptyHost heartbeat after 6 seconds
Last EH closed, shutting down
[23:35:18] Last EH closed, shutting down
